"","observed","expected","std_dev","p-value"
"polarity",0.197305934708471,-0.0222222222222222,0.0445014233834268,8.09515979360853e-07
"hydropathy",0.215174845931754,-0.0222222222222222,0.0453200115595089,1.62115723512102e-07
"volume",0.159399795660984,-0.0222222222222222,0.0452586036661283,5.99561723275688e-05
"iso.electricity",0.111654379945858,-0.0222222222222222,0.0440473183235518,0.00237064484548943
